ranking,name,review_counts,url,phone,address,review_stars
,"            Max Noodle House
        ",81,https://www.yelp.ca/biz/max-noodle-house-richmond-2?search_key=77780,"        (604) 231-8141
    ","             8291 Alexandra Road Suite 185 Richmond ,  BC   V6X 1C3 
        ",3.5
,"            Chef Hung Taiwanese Beef Noodle
        ",143,https://www.yelp.ca/biz/chef-hung-taiwanese-beef-noodle-richmond?search_key=77780,"        (604) 295-9357
    ","             4151 Hazelbridge Way Unit 2800 Aberdeen Centre Richmond ,  BC   V6X 4J7 
        ",3.5
,"            Dragon View Restaurant
        ",51,https://www.yelp.ca/biz/dragon-view-restaurant-richmond?search_key=77780,"        (604) 241-8828
    ","             3779 Sexsmith Road Suite 1298 Richmond ,  BC   V6X 3Z9 
        ",4.0
,"            Paul’s Kitchen
        ",14,https://www.yelp.ca/biz/pauls-kitchen-richmond?search_key=77780,"        (604) 273-1319
    ","             4380 No. 3 Road Richmond ,  BC   V6X 3V7 
        ",4.5
,"            Top Shanghai Cuisine Restaurant
        ",123,https://www.yelp.ca/biz/top-shanghai-cuisine-restaurant-richmond-2?search_key=77780,"        (604) 278-8798
    ","             8100 Ackroyd Road Unit 120 Richmond ,  BC   V6X 3K2 
        ",3.5
,"            Hoitong Chinese Seafood Restaurant
        ",10,https://www.yelp.ca/biz/hoitong-chinese-seafood-restaurant-richmond?search_key=77780,"        (604) 276-9229
    ","             8191 Westminster Highway Suite 160 Richmond ,  BC   V6X 1A7 
        ",4.5
,"            Tsim Chai Noodle Restaurant
        ",78,https://www.yelp.ca/biz/tsim-chai-noodle-restaurant-richmond?search_key=77780,"        (604) 273-6288
    ","             8251 Westminster Highway Suite 50 Richmond ,  BC   V6X 1A7 
        ",3.5
,"            Fortune Garden Restaurant
        ",37,https://www.yelp.ca/biz/fortune-garden-restaurant-vancouver?search_key=54670,"        (604) 736-6868
    ","             1475 W Broadway Vancouver ,  BC   V6H 1H6 
        ",3.5
,"            Fisherman’s Terrace Seafood Restaurant
        ",279,https://www.yelp.ca/biz/fishermans-terrace-seafood-restaurant-richmond?search_key=77780,"        (604) 303-9739
    ","             4151 Hazelbridge Way Suite 3580 Richmond ,  BC   V6X 4J7 
        ",4.0
,"            Kalvin’s Szechuan Restaurant
        ",62,https://www.yelp.ca/biz/kalvins-szechuan-restaurant-vancouver?search_key=54670,"        (604) 321-2888
    ","             5225 Victoria Vancouver ,  BC   V5P 3V4 
        ",4.0
,"            Shaolin Noodle House
        ",171,https://www.yelp.ca/biz/shaolin-noodle-house-vancouver-2?search_key=54670,"        (604) 873-1618
    ","             656 W Broadway Vancouver ,  BC   V5Z 1G1 
        ",3.5
,"            Kirin Seafood Restaurant
        ",205,https://www.yelp.ca/biz/kirin-seafood-restaurant-vancouver?search_key=54670,"        (604) 879-8038
    ","             555 W 12th Avenue Vancouver ,  BC   V5Z 3X7 
        ",3.5
,"            Cheng Du Xiao Chi
        ",4,https://www.yelp.ca/biz/cheng-du-xiao-chi-richmond?search_key=42159,"        (604) 278-6609
    ","             4160 No 3 Road Suite 150 Richmond ,  BC   V6X 2C2 
        ",5.0
,"            Silver Tower Cafe Restaurant
        ",60,https://www.yelp.ca/biz/silver-tower-cafe-restaurant-richmond?search_key=42159,"        (604) 207-1199
    ","             100 - 8500 Alexandra Road Richmond ,  BC   V6X 3L4 
        ",3.5
,"            Yue Delicacy
        ",13,https://www.yelp.ca/biz/yue-delicacy-richmond?search_key=42159,"        (604) 233-1219
    ","             8077 Alexandra Road Richmond ,  BC   V6X 1C3 
        ",4.0
,"            Yummy Yummy
        ",7,https://www.yelp.ca/biz/yummy-yummy-richmond?search_key=42159,"        (604) 270-8830
    ","             4380 Number 3 Road Suite 1238 Richmond ,  BC   V6X 2C4 
        ",4.0
,"            James Snacks
        ",10,https://www.yelp.ca/biz/james-snacks-richmond?search_key=42159,"        (604) 716-1328
    ","             4540 No 3 Road Unit 1160 Richmond ,  BC   V6X 4E8 
        ",4.5
,"            Mui Garden Restaurant
        ",46,https://www.yelp.ca/biz/mui-garden-restaurant-richmond?search_key=42159,"        (604) 303-7977
    ","             5960 Minoru Boulevard Richmond ,  BC   V6X 3J3 
        ",3.5
,"            Tai Hing Restaurant
        ",27,https://www.yelp.ca/biz/tai-hing-restaurant-richmond-2?search_key=42159,"        (604) 273-3219
    ","             8075 Park Road Richmond ,  BC   V6Y 1S8 
        ",3.5
,"            Western Lake Chinese Seafood Restaurant
        ",127,https://www.yelp.ca/biz/western-lake-chinese-seafood-restaurant-vancouver?search_key=57084,"        (604) 321-6862
    ","             4989 Victoria Drive Vancouver ,  BC   V5P 3T7 
        ",3.5
,"            Won More Szechuan Cuisine
        ",26,https://www.yelp.ca/biz/won-more-szechuan-cuisine-vancouver?search_key=57084,"        (604) 688-8856
    ","             1184 Denman Street Vancouver ,  BC   V6G 2M9 
        ",4.0
,"            Dynasty Seafood Restaurant
        ",79,https://www.yelp.ca/biz/dynasty-seafood-restaurant-vancouver?search_key=57084,"        (604) 876-8388
    ","             777 W Broadway Ste 108 Vancouver ,  BC   V5Z 4J7 
        ",3.5
,"            Continental Seafood Restaurant
        ",73,https://www.yelp.ca/biz/continental-seafood-restaurant-richmond?search_key=42159,"        (604) 278-6331
    ","             11700 Cambie Rd Richmond ,  BC   V6X 1L5 
        ",3.5
,"            Specialty Chicken & Wonton House
        ",22,https://www.yelp.ca/biz/specialty-chicken-and-wonton-house-richmond?search_key=18012,"        (604) 278-8239
    ","             8100 Ackroyd Road Richmond ,  BC   V6X 3K2 
        ",4.0
,"            Kwong Chow Congee & Noodle House
        ",73,https://www.yelp.ca/biz/kwong-chow-congee-and-noodle-house-vancouver?search_key=57084,"        (604) 876-8520
    ","             3163 Main Street Vancouver ,  BC   V5T 3G8 
        ",3.5
,"            Richmond Night Market
        ",269,https://www.yelp.ca/biz/richmond-night-market-richmond-3?search_key=18012,"        (604) 244-8448
    ","             8351 River Road Richmond ,  BC   V6X 1Y4 
        ",3.5
,"            Neptune Wonton Noodle
        ",38,https://www.yelp.ca/biz/neptune-wonton-noodle-richmond-2?search_key=18012,"        (604) 207-9889
    ","             8171 Ackroyd Road Suite 110 Richmond ,  BC   V6X 3K1 
        ",3.5
,"            Silkway Halal Cuisine
        ",15,https://www.yelp.ca/biz/silkway-halal-cuisine-richmond?search_key=18012,"        (604) 278-6788
    ","             8188 Saba Road Suite 110 Richmond ,  BC   V6Y 4E2 
        ",4.0
,"            The Jade Seafood Restaurant
        ",96,https://www.yelp.ca/biz/the-jade-seafood-restaurant-richmond-2?search_key=18012,"        (604) 249-0082
    ","             8511 Alexandra Road Richmond ,  BC   V6X 1C3 
        ",3.5
,"            Suhang Restaurant
        ",35,https://www.yelp.ca/biz/suhang-restaurant-richmond?search_key=18012,"        (604) 278-7787
    ","             8291 Ackroyd Road Suite 100 Richmond ,  BC   V6X 3J9 
        ",3.5
,"            Strike
        ",55,https://www.yelp.ca/biz/strike-richmond?search_key=18012,"        (604) 821-0880
    ","             4751 Garden City Road Richmond ,  BC   V6X 3M7 
        ",3.5
,"            Legendary Noodle House
        ",153,https://www.yelp.ca/biz/legendary-noodle-house-vancouver-2?search_key=43390,"        (604) 669-8551
    ","             1074 Denman Street Vancouver ,  BC   V6G 2M8 
        ",3.5
,"            BT Cafe
        ",46,https://www.yelp.ca/biz/bt-cafe-vancouver?search_key=43390,"        (604) 872-3368
    ","             920 Kingsway Vancouver ,  BC   V5V 3C4 
        ",4.0
,"            Morals Village Hotpot
        ",7,https://www.yelp.ca/biz/morals-village-hotpot-richmond?search_key=32510,"        (778) 237-3737
    ","             4540 Number 3 Road Suite 1200 Richmond ,  BC   V6X 
        ",4.0
,"            Deer Garden Signatures
        ",15,https://www.yelp.ca/biz/deer-garden-signatures-richmond-3?search_key=32510,"        (604) 278-3779
    ","             8388 Capstan Way Richmond ,  BC   V6X 4A7 
        ",3.5
,"            Mui Kee Chicken Pot
        ",2,https://www.yelp.ca/biz/mui-kee-chicken-pot-richmond-2?search_key=32510,"        (604) 370-4833
    ","             8391 Alexandra Road Suite 1120 Richmond ,  BC   V6X 3W5 
        ",4.5
,"            Tin Tin Seafood Harbour
        ",24,https://www.yelp.ca/biz/tin-tin-seafood-harbour-richmond?search_key=32510,"        (604) 370-3883
    ","             3711 No. 3 Road Richmond ,  BC   V6X 2B8 
        ",3.5
,"            Toko Foods
        ",29,https://www.yelp.ca/biz/toko-foods-vancouver?search_key=43390,"        (604) 879-0701
    ","             223 W 7th Avenue Vancouver ,  BC   V5Y 1L9 
        ",4.0
,"            Beijing Noodle House
        ",20,https://www.yelp.ca/biz/beijing-noodle-house-richmond?search_key=32510,"        (604) 278-2323
    ","             6451 Buswell Street Suite 190 Richmond ,  BC   V6Y 2E9 
        ",3.5
,"            Empire Seafood Restaurant
        ",68,https://www.yelp.ca/biz/empire-seafood-restaurant-richmond?search_key=32510,"        (604) 249-0080
    ","             5951 No 3 Road Unit 200 Richmond ,  BC   V6X 2E3 
        ",3.0
,"            Sea Harbour Seafood Restaurant
        ",68,https://www.yelp.ca/biz/sea-harbour-seafood-restaurant-richmond?search_key=32510,"        (604) 232-0816
    ","             150-8888 River Road Richmond ,  BC   V6X 0E1 
        ",3.0
,"            Chen’s Shanghai Restaurant
        ",56,https://www.yelp.ca/biz/chens-shanghai-restaurant-richmond?search_key=32510,"        (604) 304-8288
    ","             8095 Park Road Richmond ,  BC   V6Y 2Y8 
        ",3.5
,"            Tak Fook Noodle & Congee Shop
        ",7,https://www.yelp.ca/biz/tak-fook-noodle-and-congee-shop-richmond?search_key=32510,"        (604) 231-0893
    ","             4380 No. 3 Rd Richmond ,  BC   V6X 3V7 
        ",4.0
,"            Golden Ocean Seafood Restaurant
        ",57,https://www.yelp.ca/biz/golden-ocean-seafood-restaurant-vancouver?search_key=75512,"        (604) 263-8886
    ","             2046 41st Ave W Vancouver ,  BC   V6M 1Y8 
        ",3.5
,"            Lucky Noodle Chinese Restaurant
        ",28,https://www.yelp.ca/biz/lucky-noodle-chinese-restaurant-vancouver?search_key=75512,"        (604) 430-8818
    ","             3377 Kingsway Suite 3 Vancouver ,  BC   V5R 5K6 
        ",4.0
,"            Deer Garden Signatures
        ",89,https://www.yelp.ca/biz/deer-garden-signatures-vancouver?search_key=75512,"        (604) 322-6116
    ","             6270 Fraser Street Vancouver ,  BC   V5W 3A3 
        ",3.5
,"            Green Lettuce Indian Style Chinese Restaurant
        ",98,https://www.yelp.ca/biz/green-lettuce-indian-style-chinese-restaurant-vancouver?search_key=75512,"        (604) 876-9883
    ","             1949 Kingsway Vancouver ,  BC   V5N 2T1 
        ",4.0
,"            Good Eat Seafood Restaurant
        ",17,https://www.yelp.ca/biz/good-eat-seafood-restaurant-richmond?search_key=24218,"        (604) 278-6688
    ","             8111 Leslie Rd Richmond ,  BC   V6X 1E4 
        ",3.5
,"            Bamboo Grove
        ",19,https://www.yelp.ca/biz/bamboo-grove-richmond?search_key=24218,"        (604) 278-9585
    ","             6920 No 3 Rd Richmond ,  BC   V6X 1A5 
        ",3.0
,"            Bei Jiang Restaurant
        ",5,https://www.yelp.ca/biz/bei-jiang-restaurant-richmond-2?search_key=24218,"        (778) 297-6656
    ","             8580 Alexandra Road Richmond ,  BC   V6X 
        ",4.5
,"            Shiang Garden Restaurant
        ",32,https://www.yelp.ca/biz/shiang-garden-restaurant-richmond?search_key=24218,"        (604) 273-8858
    ","             2200 - 4540 No 3 Road Richmond ,  BC   V6X 4E4 
        ",3.0
,"            Alleluia Cafe
        ",56,https://www.yelp.ca/biz/alleluia-cafe-richmond?search_key=24218,"        (604) 271-8266
    ","             8131 Westminster Hwy Unit 188 Richmond ,  BC   V6X 1A7 
        ",3.0
,"            Garden City Hot Pot
        ",36,https://www.yelp.ca/biz/garden-city-hot-pot-richmond?search_key=24218,"        (604) 303-0909
    ","             1205 - 8788 McKim Way Richmond ,  BC   V6X 4E2 
        ",3.5
,"            Parklane Chinese Restaurant
        ",22,https://www.yelp.ca/biz/parklane-chinese-restaurant-richmond?search_key=24218,"        (604) 273-0888
    ","             200 London Plaza 7997 Westminster Hwy Richmond ,  BC   V7E 
        ",3.0
,"            Gingeri Chinese Cuisine
        ",48,https://www.yelp.ca/biz/gingeri-chinese-cuisine-richmond?search_key=24218,"        (604) 278-6006
    ","             5300 No 3 Rd Richmond ,  BC   V6X 2X9 
        ",3.0
,"            Leung Kee BBQ, Wonton & Noodle House
        ",23,https://www.yelp.ca/biz/leung-kee-bbq-wonton-and-noodle-house-richmond-2?search_key=24218,"        (604) 295-8212
    ","             3030 - 4151 Hazelbridge Way Richmond ,  BC   V6X 
        ",3.5
,"            Tsui Hang Village Restaurant
        ",45,https://www.yelp.ca/biz/tsui-hang-village-restaurant-vancouver?search_key=22745,"        (604) 683-6868
    ","             1193 Granville Street Vancouver ,  BC   V6Z 1M1 
        ",3.0
,"            Sunway Restaurant
        ",29,https://www.yelp.ca/biz/sunway-restaurant-richmond?search_key=70818,"        (778) 297-4363
    ","             4540 No 3 Road Richmond ,  BC   V6X 4E4 
        ",3.5
,"            Golden Sichuan Restaurant
        ",19,https://www.yelp.ca/biz/golden-sichuan-restaurant-richmond-2?search_key=70818,"        (604) 288-9058
    ","             3631 No 3 Rd Richmond ,  BC   V6X 2B9 
        ",3.0
,"            Xin Qiao Feng Noodles
        ",3,https://www.yelp.ca/biz/xin-qiao-feng-noodles-richmond?search_key=70818,"        (604) 207-8708
    ","             3779 Sexsmith Rd Richmond ,  BC   V6X 3Z9 
        ",4.5
,"            Kam Wai Dim Sum
        ",27,https://www.yelp.ca/biz/kam-wai-dim-sum-vancouver?search_key=22745,"        (604) 683-2333
    ","             249 E Pender Street Vancouver ,  BC   V6A 1T7 
        ",3.5
,"            Wu Fung Dessert
        ",52,https://www.yelp.ca/biz/wu-fung-dessert-richmond?search_key=70818,"        (604) 233-1132
    ","             4151 Hazelbridge Way Richmond ,  BC   V6X 4J7 
        ",4.0
,"            Wo Fung Noodle Express
        ",18,https://www.yelp.ca/biz/wo-fung-noodle-express-richmond?search_key=70818,"        (604) 284-5635
    ","             8400 Alexandra Road Suite 190 Richmond ,  BC   V6X 1C3 
        ",3.5
,"            Claypot Hot Pot & BBQ
        ",46,https://www.yelp.ca/biz/claypot-hot-pot-and-bbq-richmond?search_key=70818,"        (604) 284-5181
    ","             8291 Alexandra Road Unit 105 Richmond ,  BC   V6X 1C3 
        ",3.0
,"            Chef Tony
        ",52,https://www.yelp.ca/biz/chef-tony-richmond?search_key=70818,"        (604) 279-0083
    ","             4600 No 3 Road Suite 101 Richmond ,  BC   V6X 
        ",3.5
,"            La Amigo Restaurant
        ",25,https://www.yelp.ca/biz/la-amigo-restaurant-richmond?search_key=70818,"        (604) 231-6028
    ","             8291 Alexandra Road Richmond ,  BC   V6X 1C3 
        ",3.5
,"            Hanppy Tofu Pot House
        ",14,https://www.yelp.ca/biz/hanppy-tofu-pot-house-richmond?search_key=70818,"        (604) 247-1079
    ","             1138-8328 Capstan Way Richmond ,  BC   V6X 1R3 
        ",3.5
,"            Peaceful Restaurant
        ",67,https://www.yelp.ca/biz/peaceful-restaurant-vancouver-4?search_key=86818,"        (604) 559-9511
    ","             43 E 5th Avenue Vancouver ,  BC   V5T 1J6 
        ",2.5
,"            Victoria Chinese Restaurant
        ",18,https://www.yelp.ca/biz/victoria-chinese-restaurant-vancouver-2?search_key=22745,"        (604) 669-8383
    ","             1088 Melville Street Vancouver ,  BC   V6E 4L4 
        ",3.5
,"            Red Star Seafood Restaurant
        ",35,https://www.yelp.ca/biz/red-star-seafood-restaurant-richmond?search_key=70818,"        (604) 270-3003
    ","             8181 Cambie Road Suite 2200 Richmond ,  BC   V6X 3X9 
        ",3.5
,"            Kyle’s Café
        ",16,https://www.yelp.ca/biz/kyles-caf%C3%A9-vancouver-2?search_key=86818,"        (604) 872-5885
    ","             2627 Commercial Drive Vancouver ,  BC   V5N 4C3 
        ",3.5
,"            Lido Restaurant
        ",108,https://www.yelp.ca/biz/lido-restaurant-richmond?search_key=73690,"        (604) 231-0055
    ","             150-4231 Hazelbridge Way Richmond ,  BC   V6X 3L7 
        ",3.5
,"            Happy Date Bakery & Restaurant
        ",21,https://www.yelp.ca/biz/happy-date-bakery-and-restaurant-richmond?search_key=73690,"        (604) 273-3308
    ","             8135 Park Road Richmond ,  BC   V6Y 1S8 
        ",3.0
,"            Hou Lok Restaurant
        ",7,https://www.yelp.ca/biz/hou-lok-restaurant-richmond?search_key=73690,"        (604) 279-8896
    ","             8231 Cambie Rd Richmond ,  BC   V6X 3X9 
        ",3.5
,"            Yuan’s Shanghai Serendipity Cuisine
        ",18,https://www.yelp.ca/biz/yuans-shanghai-serendipity-cuisine-richmond?search_key=73690,"        (778) 868-1238
    ","             4260 No 3 Road Suite 180 Richmond ,  BC   V6X 
        ",3.0
,"            Chengdu Spicy Restaurant
        ",5,https://www.yelp.ca/biz/chengdu-spicy-restaurant-richmond?search_key=73690,"        (604) 285-7999
    ","             2150-8291 Alexandra Road Richmond ,  BC   V6X 
        ",3.0
,"            Golden Coin Restaurant
        ",12,https://www.yelp.ca/biz/golden-coin-restaurant-richmond?search_key=73690,"        (604) 270-2732
    ","             6151 Westminster Highway Richmond ,  BC   V7C 4V4 
        ",3.5
,"            4 Stones Vegetarian Cuisine
        ",48,https://www.yelp.ca/biz/4-stones-vegetarian-cuisine-richmond?search_key=73690,"        (604) 278-0852
    ","             7771 Westminster Highway Unit 160 Richmond ,  BC   V6X 1A4 
        ",4.0
,"            Double East Cuisine
        ",7,https://www.yelp.ca/biz/double-east-cuisine-richmond-2?search_key=73690,"        (604) 276-2716
    ","             4200 No 3 Road Suite 190 Richmond ,  BC   V6Y 4G2 
        ",3.5
,"            Mei Shan Dong Po
        ",18,https://www.yelp.ca/biz/mei-shan-dong-po-vancouver?search_key=38898,"        (778) 379-9388
    ","             3420 Cambie Street Vancouver ,  BC   V5Z 2W8 
        ",3.0
,"            Shining Garden Restaurant
        ",11,https://www.yelp.ca/biz/shining-garden-restaurant-vancouver-2?search_key=38898,"        (604) 258-9018
    ","             2461 Nanaimo Street Vancouver ,  BC   V5N 5E5 
        ",3.5
,"            Modern City Chinese Restaurant
        ",29,https://www.yelp.ca/biz/modern-city-chinese-restaurant-vancouver?search_key=38898,"        (604) 558-3848
    ","             2106 W 41st Avenue Vancouver ,  BC   V6M 1Z1 
        ",3.0
,"            Ho Ho Kitchen
        ",42,https://www.yelp.ca/biz/ho-ho-kitchen-vancouver?search_key=38898,"        (604) 688-9896
    ","             1224 Davie Street Vancouver ,  BC   V6E 1N3 
        ",3.0
,"            Shanghai House Restaurant
        ",24,https://www.yelp.ca/biz/shanghai-house-restaurant-richmond?search_key=24054,"        (604) 278-0709
    ","             6340 No 3 Rd Richmond ,  BC   V6Y 
        ",3.0
,"            Sunny Spot Cafe
        ",42,https://www.yelp.ca/biz/sunny-spot-cafe-vancouver?search_key=38898,"        (604) 872-1816
    ","             2543 Main Street Vancouver ,  BC   V5T 3E5 
        ",3.0
,"            Bamboo Express
        ",11,https://www.yelp.ca/biz/bamboo-express-richmond?search_key=24054,"        (604) 277-6666
    ","             8180 Number 2 Road Suite 178 Richmond ,  BC   V7E 1J5 
        ",3.5
,"            Sing Yee Chinese Restaurant
        ",10,https://www.yelp.ca/biz/sing-yee-chinese-restaurant-richmond?search_key=24054,"        (604) 232-1328
    ","             3779 Sexsmith Road Suite 2118 Richmond ,  BC   V6X 3Z9 
        ",3.5
,"            Excelsior Restaurant
        ",22,https://www.yelp.ca/biz/excelsior-restaurant-richmond?search_key=24054,"        (604) 278-2616
    ","             6340 No 3 Rd Ste 6 Richmond ,  BC   V6Y 
        ",3.5
,"            Bubble Waffle
        ",51,https://www.yelp.ca/biz/bubble-waffle-richmond?search_key=24054,"        (604) 270-1234
    ","             4151 Hazelbridge Way Unit 3000 Richmond ,  BC   V6X 3R8 
        ",3.5
,"            East On 1
        ",12,https://www.yelp.ca/biz/east-on-1-richmond-5?search_key=24054,"        (778) 297-1177
    ","             12251 Number 1 Road Suite 110 Richmond ,  BC   V7E 1T6 
        ",3.0
,"            Lucky Joy BBQ Restaurant
        ",13,https://www.yelp.ca/biz/lucky-joy-bbq-restaurant-richmond?search_key=24054,"        (604) 303-8172
    ","             11780 Thorpe Rd Richmond ,  BC   V6X 1J6 
        ",3.5
,"            Monk Bistro
        ",2,https://www.yelp.ca/biz/monk-bistro-vancouver?search_key=22719,"        (778) 379-2190
    ","             792 Denman Street Vancouver ,  BC   V6G 1C9 
        ",4.5
,"            Thumbs Up Hot Pot
        ",3,https://www.yelp.ca/biz/thumbs-up-hot-pot-richmond?search_key=79687,"        (604) 285-6122
    ","             4731 Garden City Road Suite 150 Richmond ,  BC   V6X 3M7 
        ",4.0
,"            Nu Chinese Bistro
        ",22,https://www.yelp.ca/biz/nu-chinese-bistro-richmond?search_key=24054,"        (778) 297-9998
    ","             Cosmo Plaza 8788 McKim Way, Suite 2170, 2nd Floor Richmond ,  BC   V6X 4E2 
        ",3.0
,"            K K Dollar Hotpot
        ",15,https://www.yelp.ca/biz/k-k-dollar-hotpot-richmond?search_key=79687,"        (604) 279-5588
    ","             4200 No 3 Road Suite 200 Richmond ,  BC   V6X 2C2 
        ",3.5
,"            Kung Pao Wok
        ",3,https://www.yelp.ca/biz/kung-pao-wok-richmond?search_key=79687,,"             Richmond Centre 6060 Minoru Boulevard Richmond ,  BC   V6Y 
        ",3.5
,"            Neptune Seafood Restaurant
        ",61,https://www.yelp.ca/biz/neptune-seafood-restaurant-richmond?search_key=24054,"        (604) 207-9888
    ","             8171 Ackroyd Road Suite 100 Richmond ,  BC   V6X 3K1 
        ",3.0
,"            Oriental Dumpling King
        ",12,https://www.yelp.ca/biz/oriental-dumpling-king-richmond?search_key=79687,"        (604) 279-1728
    ","             4200 Number 3 Rd Richmond ,  BC   V6X 4E8 
        ",3.0
,"            Sam Well BBQ
        ",2,https://www.yelp.ca/biz/sam-well-bbq-richmond?search_key=79687,"        (604) 278-1468
    ","             President Plaza 8181 Cambie Road, Suite 1190 Richmond ,  BC   V6X 3X9 
        ",5.0
,"            Lumingchun
        ",6,https://www.yelp.ca/biz/lumingchun-richmond?search_key=79687,"        (604) 821-0828
    ","             1100-3700 No 3 Road Richmond ,  BC   V6X 2H6 
        ",4.0
,"            Fisherman’s Kitchen
        ",3,https://www.yelp.ca/biz/fishermans-kitchen-richmond?search_key=79687,"        (604) 285-0688
    ","             3891 Chatham Street Suite 10 Richmond ,  BC   V7E 2Z6 
        ",3.5
,"            Pearl Castle Bubble Tea
        ",59,https://www.yelp.ca/biz/pearl-castle-bubble-tea-richmond?search_key=79687,"        (604) 279-0177
    ","             6551 No 3 Road Richmond ,  BC   V6Y 2B6 
        ",2.5
,"            Wang Shun Ge Restaurant
        ",4,https://www.yelp.ca/biz/wang-shun-ge-restaurant-richmond?search_key=79687,"        (604) 303-1192
    ","             1180-8391 Alexandra Road Richmond ,  BC   V6X 1C3 
        ",4.0
,"            Imperial City Bistro
        ",8,https://www.yelp.ca/biz/imperial-city-bistro-richmond?search_key=79687,"        (604) 270-7799
    ","             3671 Westminster Highway Suite 140 Richmond ,  BC   V7C 5W5 
        ",3.5
,"            Beijiang Restaurant
        ",9,https://www.yelp.ca/biz/beijiang-restaurant-vancouver?search_key=22719,"        (604) 725-7887
    ","             3281 Kingsway Vancouver ,  BC   V5R 5K4 
        ",4.5
,"            Pelican Seafood Restaurant
        ",53,https://www.yelp.ca/biz/pelican-seafood-restaurant-vancouver?search_key=22719,"        (604) 251-3395
    ","             1895 Hastings Street E Vancouver ,  BC   V5L 1T3 
        ",3.0
,"            Vivacity Restaurant
        ",19,https://www.yelp.ca/biz/vivacity-restaurant-richmond?search_key=50238,"        (604) 279-1513
    ","             8351 Alexandra Road Suite 110 Richmond ,  BC   V6X 3P3 
        ",3.0
,"            Fortune Terrace Chineese Cuisine
        ",9,https://www.yelp.ca/biz/fortune-terrace-chineese-cuisine-richmond?search_key=50238,"        (604) 285-8980
    ","             130-6200 River Road Richmond ,  BC   V7C 4N1 
        ",1.5
,"            Szechuan Delicious Restaurant
        ",8,https://www.yelp.ca/biz/szechuan-delicious-restaurant-richmond?search_key=50238,"        (604) 276-1780
    ","             6610 No 3 Rd Richmond ,  BC   V6Y 2C1 
        ",4.0
,"            Taste of Zen
        ",6,https://www.yelp.ca/biz/taste-of-zen-richmond?search_key=50238,"        (604) 274-2822
    ","             9160 Steveston Highway Richmond ,  BC   V7A 1M5 
        ",3.0
